N_channels,Max_Offered_Load_Erlangs,PB_check
1,0.015228271484375,0.0149998497009048
2,0.19040966033935547,0.014999880582575576
3,0.5352773666381836,0.014999969645575068
4,0.9916496276855469,0.014999993921995192
5,1.5241211652755737,0.014999997196240731
6,2.111825466156006,0.014999993263962333
7,2.7416106462478638,0.014999990357631504
8,3.4046592712402344,0.0149999823965663
9,4.094761669635773,0.014999997133343539
10,4.807364344596863,0.014999991780147685
11,5.539026319980621,0.014999999498032886
12,6.2870728969573975,0.014999995496722488
13,7.049383759498596,0.014999991895190924
14,7.82424533367157,0.014999995516261529
15,8.6102494597435,0.01499999392509643
16,9.40622615814209,0.014999998220776304
17,10.211188524961472,0.014999997595432498
18,11.024298012256622,0.014999995572689048
19,11.844835042953491,0.014999999034625018
20,12.672175168991089,0.014999999923954857
21,13.505774527788162,0.014999999056723199
22,14.345155477523804,0.014999996148028256
23,15.189897179603577,0.014999999682296363
24,16.039623498916626,0.014999998263882677
25,16.8940007686615,0.014999998869520718
26,17.752728581428528,0.014999998713562014
27,18.61553692817688,0.014999999614453231
28,19.48218071460724,0.01499999672589754
29,20.35243907570839,0.014999996611885889
30,21.226109862327576,0.01499999812575165
31,22.103008300065994,0.014999999744127473
32,22.982964515686035,0.014999996769314928
33,23.86582401394844,0.014999994826543472
34,24.751444220542908,0.014999997184212278
35,25.639692097902298,0.014999998771679937
36,26.530444979667664,0.014999997979880646
37,27.42359007894993,0.014999998946800786
38,28.31902101635933,0.014999996978586227
39,29.216640517115593,0.014999997535150057
40,30.11635661125183,0.014999999121916253
