arrival_rate,seed,utilization,fraction_served,mean_number_in_system,mean_delay,total_served,total_arrived,clock_time,,,,,Arrival Rate,Mean Average Delay
0.025,24681012,0.749563455,0.99999996,2.992320411,119.7073915,50000000,50000002,2000243541.1721336842,,,,,,
0.025,31415926,0.749409845,1,2.993165759,119.7630451,50000000,50000000,2000608299.2496130466,,,,,,
0.025,27182818,0.749669684,0.9999999,2.99760344,119.9455975,50000000,50000005,2000691551.1775860786,,,,,,
0.025,16180339,0.749787873,0.99999998,3.001026598,120.0533433,50000000,50000001,2000204586.0602586269,,,,,,
AVG     0.02500 10_seeds        avg_mean_delay  119.9674183245,,,,,,,,,,,,,,
0.028,400430923,0.839911323,0.99999998,5.24195951,187.2705535,50000000,50000001,1786264785.1693601608,,,,,,
0.028,400474322,0.839959472,0.99999984,5.257460894,187.7519594,50000000,50000008,1785576375.9501276016,,,,,,
0.028,89101112,0.840021473,0.9999998,5.251064342,187.5453573,50000000,50000010,1785784224.4871683121,,,,,,
0.028,424242,0.840092644,0.99999992,5.251798975,187.5594916,50000000,50000004,1785668991.8461697102,,,,,,
0.028,8675309,0.839794119,0.99999984,5.241338095,187.1936964,50000000,50000008,1785743383.0753324032,,,,,,
0.028,1357911,0.840163201,0.99999996,5.266049889,188.0457452,50000000,50000002,1785453510.4307353497,,,,,,
0.028,24681012,0.839785881,0.99999994,5.246899316,187.3814204,50000000,50000003,1785639566.4238383770,,,,,,
0.028,31415926,0.839737776,0.99999996,5.244655324,187.3216117,50000000,50000002,1785833387.3629772663,,,,,,
0.028,27182818,0.839687973,1,5.242673595,187.2966165,50000000,50000000,1786270050.3065526485,,,,,,
0.028,16180339,0.83988024,1,5.254665836,187.6726678,50000000,50000000,1785771670.5294699669,,,,,,
AVG     0.02800 10_seeds        avg_mean_delay  187.5039119810,,,,,,,,,,,,,,
0.03,400430923,0.900023323,0.99999992,9.021081071,300.7756406,50000000,50000004,1667070932.3738160133,,,,,,
0.03,400474322,0.899937185,0.99999974,9.000512324,299.997169,50000000,50000013,1666556070.4784822464,,,,,,
0.03,89101112,0.900024099,1,8.998413507,299.9586534,50000000,50000000,1666730769.4565310478,,,,,,
0.03,424242,0.900024813,0.99999948,9.013039652,300.4395151,50000000,50000026,1666693627.8320147991,,,,,,
0.03,8675309,0.900039891,0.99999982,8.999771582,299.953864,50000000,50000009,1666452649.8729553223,,,,,,
0.03,1357911,0.900086681,1,8.988960472,299.6029328,50000000,50000000,1666504896.2130253315,,,,,,
0.03,24681012,0.900034468,0.99999992,9.036355597,301.1550968,50000000,50000004,1666352621.7514038086,,,,,,
0.03,31415926,0.899980993,1,8.98261781,299.396985,50000000,50000000,1666535253.3442144394,,,,,,
0.03,27182818,0.899948076,1,8.986427777,299.5938101,50000000,50000000,1666923818.4811728001,,,,,,
0.03,16180339,0.900024743,0.99999988,9.010756855,300.3426924,50000000,50000006,1666578608.3532528877,,,,,,
AVG     0.03000 10_seeds        avg_mean_delay  300.1216359205,,,,,,,,,,,,,,
0.032,400430923,0.960125891,0.99999958,24.20228489,756.4651451,50000000,50000021,1562796960.2738931179,,,,,,
0.032,400474322,0.960171194,0.99999978,24.28535908,758.7729371,50000000,50000011,1562202425.3822398186,,,,,,
0.032,89101112,0.959956362,0.99999994,23.98137481,749.4738638,50000000,50000003,1562616550.8582150936,,,,,,
0.032,424242,0.96004183,0.9999999,23.98787438,749.6270695,50000000,50000005,1562512496.2878103256,,,,,,
0.032,8675309,0.95987286,0.99999984,23.87443129,746.0461049,50000000,50000008,1562437437.4133551121,,,,,,
0.032,1357911,0.960059432,0.99999934,24.03233329,750.9506294,50000000,50000033,1562375613.6852967739,,,,,,
0.032,24681012,0.960258993,0.99999866,24.11403893,753.3349972,50000000,50000067,1562025755.0844616890,,,,,,
0.032,31415926,0.960305015,0.99999998,24.25050593,757.6402012,50000000,50000001,1562112154.4495799541,,,,,,
0.032,27182818,0.960194982,0.9999992,24.23752004,757.4408837,50000000,50000040,1562537921.2989220619,,,,,,
0.032,16180339,0.960481075,0.9999997,24.14379352,754.2751277,50000000,50000015,1562047669.0508334637,,,,,,
AVG     0.03200 10_seeds        avg_mean_delay  753.4026959522,,,,,,,,,,,,,,
0.033,400430923,0.990010486,0.9999981,100.3819639,3042.641931,50000000,50000095,1515532179.9840328693,,,,,,
0.033,400474322,0.989796816,0.9999973,100.7337588,3052.545962,50000000,50000135,1515155395.2003173828,,,,,,
0.033,89101112,0.99020241,0.9999993,102.6748149,3111.202264,50000000,50000035,1515075662.6630651951,,,,,,
0.033,424242,0.990114348,0.99999916,99.57615539,3017.375846,50000000,50000042,1515109633.4605312347,,,,,,
0.033,8675309,0.99029155,0.99999946,102.6027783,3108.387382,50000000,50000027,1514767647.9371843338,,,,,,
0.033,1357911,0.990095187,0.99999742,99.38658336,3011.425847,50000000,50000129,1515006224.0239446163,,,,,,
0.033,24681012,0.989901584,0.99999652,94.571362,2865.460738,50000000,50000174,1514972755.4387252331,,,,,,
0.033,31415926,0.989963001,0.99999624,100.791359,3054.073629,50000000,50000188,1515047350.5309309959,,,,,,
0.033,27182818,0.990025694,0.999998,99.04547968,3001.718463,50000000,50000100,1515323300.4241158962,,,,,,
0.033,16180339,0.990198412,0.99999806,101.5668037,3077.355574,50000000,50000097,1514941625.1814172268,,,,,,
AVG     0.03300 10_seeds        avg_mean_delay  3034.2187636517,,,,,,,,,,,,,,
