arrival_rate,seed,utilization,fraction_served,mean_number_in_system,mean_delay,total_served,total_arrived,clock_time,,,,,,Arrival Rate,Average Mean Delay
0.06,1357911,0.600009542,0.99999996,1.050030647,17.50023248,50000000,50000002,833320080.9167039394,,,,,,,
0.06,24681012,0.600077277,1,1.050379081,17.50406359,50000000,50000000,833226018.4180847406,,,,,,,
0.06,31415926,0.60012135,0.99999988,1.050154324,17.49903288,50000000,50000006,833164825.7878452539,,,,,,,
0.06,27182818,0.599934379,1,1.04963765,17.49587433,50000000,50000000,833424483.4296560287,,,,,,,
0.06,16180339,0.599986945,1,1.049995859,17.50031175,50000000,50000000,833351465.4503463507,,,,,,,
AVG     0.06000 10_seeds        avg_mean_delay  17.4994350825,,,,,,,,,,,,,,,
0.07,400430923,0.699835939,1,1.514782938,21.64482923,50000000,50000000,714453162.9833078384,,,,,,,
0.07,400474322,0.700104033,0.99999996,1.516253856,21.65755067,50000000,50000002,714179574.2854199409,,,,,,,
0.07,89101112,0.699929825,0.99999994,1.514927949,21.64399767,50000000,50000003,714357328.8497846127,,,,,,,
0.07,424242,0.700089398,0.99999998,1.516632001,21.66340478,50000000,50000001,714194503.6132770777,,,,,,,
0.07,8675309,0.700155969,1,1.517164332,21.66894806,50000000,50000000,714126598.0781006813,,,,,,,
0.07,1357911,0.700011096,0.99999994,1.515814602,21.65415106,50000000,50000003,714274391.6716338396,,,,,,,
0.07,24681012,0.700090153,1,1.516918139,21.66746857,50000000,50000000,714193732.9299473763,,,,,,,
0.07,31415926,0.700141555,0.99999988,1.516103324,21.65423995,50000000,50000006,714141299.3635290861,,,,,,,
0.07,27182818,0.699923437,1,1.515243506,21.64870364,50000000,50000000,714363848.6537764072,,,,,,,
0.07,16180339,0.699984767,1,1.51594509,21.65682972,50000000,50000000,714301258.9573771954,,,,,,,
AVG     0.07000 10_seeds        avg_mean_delay  21.6560123358,,,,,,,,,,,,,,,
0.08,400430923,0.799812494,1,2.39006801,29.88285415,50000000,50000000,625146523.6846679449,,,,,,,
0.08,400474322,0.800118835,0.9999998,2.395547619,29.93989784,50000000,50000010,624907173.7498884201,,,,,,,
0.08,89101112,0.79991975,0.9999999,2.392292003,29.90665004,50000000,50000005,625062701.4934991598,,,,,,,
0.08,424242,0.800102149,0.99999992,2.394911367,29.93257009,50000000,50000004,624920205.9468671083,,,,,,,
