arrival_rate,seed,utilization,fraction_served,mean_number_in_system,mean_delay,total_served,total_arrived,clock_time,,,,,,,Arrival Rate,Average mean Delay (MM1),Average Mean Delay (MD1)
AVG     0.06000 10_seeds        avg_mean_delay  24.9957657282,,,,,,,,,,,,,,,,,
0.07,400430923,0.6998243,0.99999998,2.332824133,33.3387571,50000000,50000001,714557875.0633878708,,,,,,,,,
0.07,400474322,0.699840551,1,2.334508663,33.35053916,50000000,50000000,714294611.2520742416,,,,,,,,,
0.07,89101112,0.699688663,1,2.332865994,33.33579839,50000000,50000000,714481639.3407628536,,,,,,,,,
0.07,424242,0.699723909,0.99999994,2.332253455,33.32547055,50000000,50000003,714447876.2386151552,,,,,,,,,
0.07,8675309,0.69992028,0.99999998,2.334065064,33.34213938,50000000,50000001,714250427.2903372049,,,,,,,,,
0.07,1357911,0.699803319,1,2.334839229,33.3579009,50000000,50000000,714351131.6645549536,,,,,,,,,
0.07,24681012,0.699769309,0.99999992,2.332517143,33.3215233,50000000,50000004,714282495.0465232134,,,,,,,,,
0.07,31415926,0.699574353,1,2.331325098,33.31179448,50000000,50000000,714439065.5913807154,,,,,,,,,
0.07,27182818,0.699880802,0.99999994,2.332808932,33.33286099,50000000,50000003,714436157.3620834351,,,,,,,,,
0.07,16180339,0.699588022,1,2.331294498,33.31270622,50000000,50000000,714467997.5144020319,,,,,,,,,
AVG     0.07000 10_seeds        avg_mean_delay  33.3329490478,,,,,,,,,,,,,,,,,
0.08,400430923,0.799981302,0.99999998,4.005021997,50.07615014,50000000,50000001,625166980.1881440878,,,,,,,,,
0.08,400474322,0.799850943,1,3.998644126,49.98263796,50000000,50000000,624994828.0213612318,,,,,,,,,
0.08,89101112,0.799794194,0.99999998,4.006341452,50.08830766,50000000,50000001,625112814.9841334820,,,,,,,,,
0.08,424242,0.799933982,0.99999992,4.002127441,50.03014698,50000000,50000004,625044400.9742351770,,,,,,,,,
0.08,8675309,0.80020747,0.99999998,4.00842803,50.09352636,50000000,50000001,624852510.6065222025,,,,,,,,,
0.08,1357911,0.799701225,0.99999992,3.994625167,49.93969982,50000000,50000004,625086181.1753820181,,,,,,,,,
0.08,24681012,0.799768623,0.99999966,3.997848027,49.97187511,50000000,50000017,624984676.4285600185,,,,,,,,,
0.08,31415926,0.799840919,0.99999992,4.006196527,50.07796049,50000000,50000004,625006289.0541692972,,,,,,,,,
0.08,27182818,0.799646253,0.99999986,3.996587728,49.97466602,50000000,50000007,625216677.6627433300,,,,,,,,,
0.08,16180339,0.799665736,0.99999998,3.99561514,49.9536706,50000000,50000001,625106133.2735216618,,,,,,,,,
AVG     0.08000 10_seeds        avg_mean_delay  50.0188641148,,,,,,,,,,,,,,,,,
0.09,400430923,0.900026118,0.99999992,9.021349962,100.2613796,50000000,50000004,555689448.0377784967,,,,,,,,,
0.09,400474322,0.899937229,0.99999974,9.000514889,99.99908238,50000000,50000013,555518676.5229054689,,,,,,,,,
0.09,89101112,0.900023235,1,8.998384576,99.98594429,50000000,50000000,555577189.6878526211,,,,,,,,,
0.09,424242,0.900024813,0.99999948,9.013039653,100.146505,50000000,50000026,555564542.6104295254,,,,,,,,,
0.09,8675309,0.900039029,0.99999982,8.999876153,99.98583098,50000000,50000009,555484482.7168917656,,,,,,,,,
0.09,1357911,0.900086747,1,8.988921694,99.86720977,50000000,50000000,555501611.7226357460,,,,,,,,,
0.09,24681012,0.900032917,0.99999992,9.036094969,100.3822234,50000000,50000004,555451352.4316607714,,,,,,,,,
0.09,31415926,0.899980993,1,8.98261781,99.79899499,50000000,50000000,555511751.1143853664,,,,,,,,,
0.09,27182818,0.899949139,1,8.986487752,99.86521084,50000000,50000000,555640944.4845097065,,,,,,,,,
0.09,16180339,0.90002553,0.99999988,9.010784707,100.1144965,50000000,50000006,555525959.8866138458,,,,,,,,,
AVG     0.09000 10_seeds        avg_mean_delay  100.0406877800,,,,,,,,,,,,,,,,,
0.098,400430923,0.979769524,0.99999992,48.40232965,494.0856249,50000000,50000004,510394467.0663399696,,,,,,,,,
0.098,400474322,0.980195023,0.99999844,50.13161283,511.4447363,50000000,50000078,510102016.9252410531,,,,,,,,,
0.098,89101112,0.980453031,0.99999986,50.11045746,511.2395654,50000000,50000007,510112650.4005855322,,,,,,,,,
0.098,424242,0.979803239,0.99999898,48.42042862,494.1505455,50000000,50000051,510270726.2268468142,,,,,,,,,
0.098,8675309,0.98019784,0.99999966,49.15443127,501.4719337,50000000,50000017,510098398.8789543509,,,,,,,,,
0.098,1357911,0.980051371,0.99999892,48.66524163,496.5469889,50000000,50000054,510165954.4377621412,,,,,,,,,
0.098,24681012,0.980057539,0.999999,49.36450378,503.6195943,50000000,50000050,510102964.4018349051,,,,,,,,,
0.098,31415926,0.979920032,0.99999858,48.2693628,492.5209464,50000000,50000071,510179664.4712620378,,,,,,,,,
0.098,27182818,0.97977271,0.99999918,47.58400422,485.6684857,50000000,50000041,510327465.7367410660,,,,,,,,,
0.098,16180339,0.980096194,0.99999812,48.79541824,497.8688986,50000000,50000094,510159474.5287735462,,,,,,,,,
AVG     0.09800 10_seeds        avg_mean_delay  498.8617319611,,,,,,,,,,,,,,,,,
