arrival_rate,seed,utilization,fraction_served,mean_number_in_system,mean_delay,total_served,total_arrived,clock_time
0.03000,16180339,0.3000337318,0.9999999800,0.3643202215,12.1426420733,50000000,50000001,1666479288.9011769000
AVG,0.03000,10_seeds,avg_mean_delay,12.1424950926
0.04000,400430923,0.4000435998,1.0000000000,0.5333766901,13.3329639673,50000000,50000000,1249863765.6177490000
0.04000,400474322,0.4000438493,1.0000000000,0.5333766194,13.3329538842,50000000,50000000,1249862986.0301781000
0.04000,89101112,0.4000029470,1.0000000000,0.5332862180,13.3320572271,50000000,50000000,1249990790.8154626000
0.04000,424242,0.4000116806,0.9999999800,0.5333775670,13.3340497994,50000000,50000001,1249963499.1072028000
0.04000,8675309,0.3999888694,0.9999999600,0.5332009779,13.3303953854,50000000,50000002,1250034784.0688522000
0.04000,1357911,0.4001382677,1.0000000000,0.5335984669,13.3353520509,50000000,50000000,1249568062.6133127000
0.04000,24681012,0.4000083916,1.0000000000,0.5333073749,13.3324046697,50000000,50000000,1249973776.6698921000
0.04000,31415926,0.3999936514,0.9999999800,0.5333948107,13.3350819156,50000000,50000001,1250019839.6271324000
0.04000,27182818,0.4000646216,1.0000000000,0.5333110741,13.3306232374,50000000,50000000,1249798090.1402154000
0.04000,16180339,0.4000449749,0.9999999800,0.5333681146,13.3327037708,50000000,50000001,1249859469.1818717000
AVG,0.04000,10_seeds,avg_mean_delay,13.3328585908
0.05000,400430923,0.5000544987,1.0000000000,0.7500896328,15.0001576783,50000000,50000000,999891014.4905858000
0.05000,400474322,0.5000548105,1.0000000000,0.7500320977,14.9989977489,50000000,50000000,999890390.9761892600
0.05000,89101112,0.5000036827,1.0000000000,0.7498846579,14.9975826948,50000000,50000000,999992634.6485613600
0.05000,424242,0.5000145998,0.9999999800,0.7500873347,15.0013086614,50000000,50000001,999970801.2823782000
0.05000,8675309,0.4999860858,0.9999999600,0.7497619473,14.9956562518,50000000,50000002,1000027829.2516173000
0.05000,1357911,0.5001728287,1.0000000000,0.7504173926,15.0031618992,50000000,50000000,999654462.0863858500
0.05000,24681012,0.5000104886,1.0000000000,0.7499823567,14.9993324913,50000000,50000000,999979023.3321985000
0.05000,31415926,0.4999920633,0.9999999800,0.7500626956,15.0014920377,50000000,50000001,1000015873.6983583000
0.05000,27182818,0.5000807648,1.0000000000,0.7499258192,14.9960940709,50000000,50000000,999838496.4418401700
0.05000,16180339,0.5000562176,0.9999999800,0.7500170424,14.9986544693,50000000,50000001,999887577.3418384800
AVG,0.05000,10_seeds,avg_mean_delay,14.9992438004
0.06000,400430923,0.6000653972,1.0000000000,1.0500840121,17.4994928374,50000000,50000000,833242513.7409417600
0.06000,400474322,0.6000657702,1.0000000000,1.0500061118,17.4981837639,50000000,50000000,833241995.8124994000
